experiment_id,feature,k1,k2,dropout1,dropout2,batch_size,lr,test_acc,precision,recall,f1_score,final_train_loss,min_train_loss,training_time_sec,num_params,confusion_matrix_path,classification_report_path,learning_curve_path
59,MFCC,32,128,0.3,0.3,32,0.001,69.84536082474226,0.6529045721874407,0.6545405737076239,0.6536870512172561,0.5649208956473583,0.5649208956473583,16.728499174118042,37570,Results/Tuning\cm_exp_59.csv,Results/Tuning\report_exp_59.csv,Results/Tuning\learning_curve_exp_59.csv
60,MFCC,32,128,0.3,0.3,32,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.608940124833906,0.608940124833906,16.562490224838257,37570,Results/Tuning\cm_exp_60.csv,Results/Tuning\report_exp_60.csv,Results/Tuning\learning_curve_exp_60.csv
61,MFCC,32,128,0.3,0.3,64,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6297751017796096,0.6215240727829677,12.972899913787842,37570,Results/Tuning\cm_exp_61.csv,Results/Tuning\report_exp_61.csv,Results/Tuning\learning_curve_exp_61.csv
62,MFCC,32,128,0.3,0.3,64,0.001,71.90721649484536,0.6699949853986609,0.632604693971468,0.6403795011553824,0.5772667491948733,0.5772667491948733,12.771039485931396,37570,Results/Tuning\cm_exp_62.csv,Results/Tuning\report_exp_62.csv,Results/Tuning\learning_curve_exp_62.csv
63,MFCC,32,128,0.3,0.3,64,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6139653193694289,0.6132718632298131,13.383723974227905,37570,Results/Tuning\cm_exp_63.csv,Results/Tuning\report_exp_63.csv,Results/Tuning\learning_curve_exp_63.csv
64,MFCC,32,128,0.3,0.4,16,0.01,69.6520618556701,0.677516458113473,0.533866390550698,0.4861776045492407,0.5862686441842779,0.5862686441842779,23.65567660331726,37570,Results/Tuning\cm_exp_64.csv,Results/Tuning\report_exp_64.csv,Results/Tuning\learning_curve_exp_64.csv
65,MFCC,32,128,0.3,0.4,16,0.001,73.58247422680412,0.7019693179351861,0.6356112900751649,0.6446941998137258,0.5446727996273093,0.5446727996273093,24.190574884414673,37570,Results/Tuning\cm_exp_65.csv,Results/Tuning\report_exp_65.csv,Results/Tuning\learning_curve_exp_65.csv
66,MFCC,32,128,0.3,0.4,16,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6065999484320643,0.6065999484320643,24.053704500198364,37570,Results/Tuning\cm_exp_66.csv,Results/Tuning\report_exp_66.csv,Results/Tuning\learning_curve_exp_66.csv
67,MFCC,32,128,0.3,0.4,32,0.01,68.94329896907216,0.6552191737622202,0.5188755944163215,0.4549148195106312,0.5674823164939881,0.5674823164939881,16.41793942451477,37570,Results/Tuning\cm_exp_67.csv,Results/Tuning\report_exp_67.csv,Results/Tuning\learning_curve_exp_67.csv
68,MFCC,32,128,0.3,0.4,32,0.001,71.1340206185567,0.6869283690813436,0.5708544255253873,0.554954733521773,0.5666791708082766,0.5666791708082766,16.969693899154663,37570,Results/Tuning\cm_exp_68.csv,Results/Tuning\report_exp_68.csv,Results/Tuning\learning_curve_exp_68.csv
69,MFCC,32,128,0.3,0.4,32,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6140561237528518,0.6139453889550389,16.807827472686768,37570,Results/Tuning\cm_exp_69.csv,Results/Tuning\report_exp_69.csv,Results/Tuning\learning_curve_exp_69.csv
70,MFCC,32,128,0.3,0.4,64,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6221133810217663,0.6213986585217137,13.258537530899048,37570,Results/Tuning\cm_exp_70.csv,Results/Tuning\report_exp_70.csv,Results/Tuning\learning_curve_exp_70.csv
71,MFCC,32,128,0.3,0.4,64,0.001,69.26546391752578,0.665543207627376,0.5261351434269059,0.4707120075442614,0.5768492531071427,0.5768492531071427,13.449641704559326,37570,Results/Tuning\cm_exp_71.csv,Results/Tuning\report_exp_71.csv,Results/Tuning\learning_curve_exp_71.csv
72,MFCC,32,128,0.3,0.4,64,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.616007229974193,0.6132870803597152,13.194005250930786,37570,Results/Tuning\cm_exp_72.csv,Results/Tuning\report_exp_72.csv,Results/Tuning\learning_curve_exp_72.csv
73,MFCC,32,256,0.2,0.3,16,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6254895385203323,0.6237401463151947,24.552902936935425,74818,Results/Tuning\cm_exp_73.csv,Results/Tuning\report_exp_73.csv,Results/Tuning\learning_curve_exp_73.csv
74,MFCC,32,256,0.2,0.3,16,0.001,73.00257731958763,0.7124771719528609,0.6068607148335634,0.6075545483897249,0.5344561716405357,0.5344561716405357,23.712372064590454,74818,Results/Tuning\cm_exp_74.csv,Results/Tuning\report_exp_74.csv,Results/Tuning\learning_curve_exp_74.csv
75,MFCC,32,256,0.2,0.3,16,0.0001,68.68556701030928,0.7181818181818183,0.5077312471237919,0.42439560439560436,0.6020042082158531,0.6020042082158531,23.573207139968872,74818,Results/Tuning\cm_exp_75.csv,Results/Tuning\report_exp_75.csv,Results/Tuning\learning_curve_exp_75.csv
76,MFCC,32,256,0.2,0.3,32,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6258811327251228,0.6233819442826348,16.626429080963135,74818,Results/Tuning\cm_exp_76.csv,Results/Tuning\report_exp_76.csv,Results/Tuning\learning_curve_exp_76.csv
77,MFCC,32,256,0.2,0.3,32,0.001,73.06701030927834,0.6856817194963092,0.6574321214910263,0.6657461068563845,0.5607916461454855,0.5568354215170886,17.13427758216858,74818,Results/Tuning\cm_exp_77.csv,Results/Tuning\report_exp_77.csv,Results/Tuning\learning_curve_exp_77.csv
78,MFCC,32,256,0.2,0.3,32,0.0001,68.55670103092784,0.8423772609819121,0.5040650406504065,0.4145062339204433,0.6084685307902259,0.60673460509326,16.883668184280396,74818,Results/Tuning\cm_exp_78.csv,Results/Tuning\report_exp_78.csv,Results/Tuning\learning_curve_exp_78.csv
79,MFCC,32,256,0.2,0.3,64,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6222123224889079,0.6220134317233998,13.689815282821655,74818,Results/Tuning\cm_exp_79.csv,Results/Tuning\report_exp_79.csv,Results/Tuning\learning_curve_exp_79.csv
80,MFCC,32,256,0.2,0.3,64,0.001,71.1340206185567,0.6630000243271515,0.6541724190826814,0.6577775940243381,0.5750669474883746,0.572688118744922,13.919445753097534,74818,Results/Tuning\cm_exp_80.csv,Results/Tuning\report_exp_80.csv,Results/Tuning\learning_curve_exp_80.csv
81,MFCC,32,256,0.2,0.3,64,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.615845053106226,0.6100776724277004,13.87287163734436,74818,Results/Tuning\cm_exp_81.csv,Results/Tuning\report_exp_81.csv,Results/Tuning\learning_curve_exp_81.csv
82,MFCC,32,256,0.2,0.4,16,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6255240380602477,0.6240497134565338,24.463921546936035,74818,Results/Tuning\cm_exp_82.csv,Results/Tuning\report_exp_82.csv,Results/Tuning\learning_curve_exp_82.csv
83,MFCC,32,256,0.2,0.4,16,0.001,73.71134020618557,0.7146023811089917,0.6251188832643043,0.6318092061653537,0.5420454590301204,0.5420454590301204,24.902910709381104,74818,Results/Tuning\cm_exp_83.csv,Results/Tuning\report_exp_83.csv,Results/Tuning\learning_curve_exp_83.csv
